CONTACT_CARD_ID,ENFORCEMENT_TYPE_CD,GANG,GANG_OTHER_I,GANG_OTHER,lat,lon
20132127,,,,,41.75086,-87.62949
20132126,,,,,41.75086,-87.62949
20132425,,,,,41.73439,-87.63190
20132429,,,,,41.73439,-87.63190
20132422,,,,,41.73439,-87.63190
20132666,,,,,41.74352,-87.63319
20132980,ARR,,,,41.73599,-87.63170
20133541,,,,,41.73378,-87.63067
20133539,,,N,,41.73378,-87.63067
20133553,,,,,41.73219,-87.63864
20134950,ARR,,,,41.74726,-87.62694
20135479,,,,,41.75084,-87.63066
20135643,,,,,41.74722,-87.62921
20137106,,,,,41.73599,-87.63170
20138123,,,,,41.74911,-87.62578
20138124,,,,,41.74911,-87.62578
20138775,,,N,,41.74350,-87.63411
20138887,,,,,41.73786,-87.63880
20139816,,,,,41.73599,-87.63170
20139818,,,,,41.73599,-87.63170
20145767,,,,,41.73501,-87.63192
20145867,,,,,41.73501,-87.63192
20198711,,,,,41.73501,-87.63192
20143040,ARR,,,,41.75078,-87.63423
20143470,,,,,41.73630,-87.62416
20144848,ANOV,,N,,41.73423,-87.63068
20145681,,,,,41.74722,-87.62921
20145658,,,,,41.75072,-87.63424
20145672,,,,,41.75072,-87.63424
20145665,,,,,41.75072,-87.63424
20145656,,,,,41.75072,-87.63424
20145876,,,,,41.73599,-87.63170
20145909,,,,,41.73599,-87.63170
20146149,,,,,41.73599,-87.63170
20146292,,,,,41.73599,-87.63170
20146595,,,,,41.74911,-87.62578
20147075,,,,,41.74911,-87.62578
20147561,,,,,41.73599,-87.63170
20148035,,,,,41.75065,-87.63425
20148038,,,,,41.75065,-87.63425
20148073,,,,,41.75091,-87.62703
20148658,OTH,,N,,41.74362,-87.62684
20149115,ARR,,,,41.74911,-87.62578
20149118,,,,,41.74911,-87.62578
20149405,,,,,41.74362,-87.62684
20149889,,,,,41.73439,-87.63190
20150080,PSC,,,,41.73599,-87.63170
20151423,,PDT INFORMATION,Y,PDT INFORMATION,41.75078,-87.63423
20151421,,PDT INFORMATION,Y,PDT INFORMATION,41.75078,-87.63423
20152502,ARR,,,,41.74911,-87.62578
20153068,,,,,41.73599,-87.63170
20152624,,,,,41.73599,-87.63170
20152838,,,,,41.74722,-87.62921
20153761,,,,,41.74722,-87.62921
20153782,ARR,,,,41.74722,-87.62921
20153954,ARR,,,,41.73599,-87.63170
20153946,ARR,,,,41.73599,-87.63170
20153948,ARR,,,,41.73599,-87.63170
20154227,,,,,41.74870,-87.63425
20154219,,,,,41.74870,-87.63425
20154213,,,,,41.74870,-87.63425
20154212,,,,,41.74870,-87.63425
20154234,ARR,,,,41.74870,-87.63425
20155088,,,,,41.75073,-87.63795
20155081,,,,,41.75073,-87.63795
20155068,ARR,,,,41.75065,-87.63425
20155202,ANOV,,,,41.74362,-87.62684
20155705,,,,,41.75065,-87.63425
20155701,,,,,41.75065,-87.63425
20155885,ARR,,,,41.73599,-87.63170
20155894,,,,,41.73599,-87.63170
20155922,ARR,,,,41.73627,-87.62544
20156404,ARR,,,,41.73354,-87.63503
20156403,ARR,,,,41.73354,-87.63503
20158403,,,,,41.75093,-87.62582
20158409,,,,,41.75093,-87.62582
20158401,,,,,41.75093,-87.62582
20158421,,,,,41.75093,-87.62582
20158415,,,,,41.75093,-87.62582
20156794,,,,,41.73599,-87.63170
20157120,ANOV,,,,41.74722,-87.62921
20157472,,,,,41.74911,-87.62578
20158130,,,,,41.73599,-87.63170
20158462,,,,,41.74909,-87.62638
20158488,,,,,41.74541,-87.62865
20158486,,,,,41.74541,-87.62865
20159694,,,,,41.73599,-87.63170
20162090,,,,,41.73599,-87.63170
20159900,ARR,,,,41.74845,-87.62943
20160455,,,,,41.73439,-87.63190
20160456,,,,,41.73439,-87.63190
20160467,ARR,,,,41.73439,-87.63190
20160488,,,,,41.74719,-87.63118
20160487,,,,,41.74719,-87.63118
20160594,PSC,,,,41.73599,-87.63170
20161860,ARR,,,,41.75032,-87.63433
20162050,,,N,,41.74001,-87.62423
20162707,ARR,,,,41.75084,-87.63066
20162709,,,,,41.75084,-87.63066
20163141,,,,,41.74361,-87.63451
20163140,,,,,41.74361,-87.63451
20163458,,,,,41.73599,-87.63170
20163838,,,,,41.75065,-87.63425
20166382,ANOV,,,,41.73599,-87.63170
20166504,ARR,,,,41.75084,-87.63066
20166527,,,,,41.75084,-87.63066
20166505,ARR,,,,41.75084,-87.63066
20167327,,,,,41.74911,-87.62578
20167654,,,,,41.75093,-87.62582
20168095,,,,,41.75084,-87.63066
20168085,,,,,41.75084,-87.63066
20167672,,,,,41.75084,-87.63066
20167804,,,N,,41.74722,-87.62921
20167833,OTH,,,,41.74911,-87.62578
20168302,,,,,41.74909,-87.62638
20168708,,,Y,,41.73754,-87.63760
20171706,,,,,41.74589,-87.63549
20170981,,,,,41.75065,-87.63425
20171398,,,,,41.75093,-87.62582
20171871,,,,,41.74362,-87.62684
20171873,,,,,41.74362,-87.62684
20172809,,,,,41.73628,-87.62499
20172808,,,,,41.73628,-87.62499
20173235,ARR,,,,41.73599,-87.63170
20174544,ARR,,,,41.73599,-87.63170
20174588,ARR,,,,41.73599,-87.63170
20174657,ARR,,,,41.73628,-87.62499
20175896,,,,,41.75078,-87.63423
20176252,,,,,41.73322,-87.62536
20178418,,,,,41.73599,-87.63170
20178723,,,,,41.74362,-87.62684
20179720,ARR,,,,41.73599,-87.63170
20179747,ARR,,,,41.73599,-87.63170
20180222,,,,,41.74362,-87.62684
20180358,,,,,41.74911,-87.62578
20180367,,,N,,41.74909,-87.62638
20182940,,,,,41.75078,-87.63423
20184094,,,,,41.73324,-87.62536
20186258,,,,,41.73628,-87.62499
20185675,,,,,41.73599,-87.63170
20185673,,,,,41.73599,-87.63170
20186224,OTH,,Y,,41.73599,-87.63170
20186841,,,,,41.75065,-87.63425
20186650,,,,,41.75065,-87.63425
20186643,,,,,41.75065,-87.63425
20186649,,,,,41.75045,-87.63430
20186861,ARR,,,,41.73628,-87.62499
20186865,ARR,,,,41.73628,-87.62499
20187664,,,,,41.73216,-87.63743
20187852,,,,,41.73599,-87.63170
20188681,,,,,41.75078,-87.63423
20188811,,,,,41.74714,-87.63421
20189182,,,,,41.75084,-87.63066
20189352,,,,,41.73589,-87.63875
20189964,,,,,41.73599,-87.63170
20189965,,,,,41.73599,-87.63170
20189967,,,,,41.73599,-87.63170
20190027,,,,,41.73599,-87.63170
20190009,ARR,,N,,41.73083,-87.63739
20192072,,,,,41.75093,-87.62582
20192488,ARR,,N,,41.73223,-87.63743
20192673,,,,,41.75092,-87.62600
20192669,,,,,41.75093,-87.62582
20192654,,,,,41.75093,-87.62582
20192667,,,,,41.75093,-87.62582
20192663,,,,,41.75093,-87.62582
20192756,,,,,41.74908,-87.62698
20192691,ARR,,,,41.75093,-87.62582
20193781,,,,,41.75084,-87.63066
20193977,,,,,41.75091,-87.62703
20193970,,,,,41.75091,-87.62703
20195789,,,,,41.75091,-87.62703
20195338,ARR,,,,41.75091,-87.62703
20196137,,,,,41.75084,-87.63066
20196136,,,,,41.75084,-87.63066
20196132,,,,,41.75084,-87.63066
20196131,,,,,41.75084,-87.63066
20196315,,,,,41.75092,-87.62600
20196304,,,,,41.75092,-87.62600
20196312,,,,,41.75092,-87.62600
20196305,,,,,41.75092,-87.62600
20196361,ARR,,,,41.74350,-87.63411
20196685,,,,,41.75084,-87.63066
20196682,,,,,41.75084,-87.63066
20196681,,,,,41.75084,-87.63066
20196886,ARR,,,,41.73627,-87.62544
20197067,ARR,,,,41.74362,-87.62684
20197061,ARR,,,,41.74362,-87.62684
20197574,ANOV,,,,41.75091,-87.62703
20198297,,,,,41.74541,-87.62865
20198283,,,,,41.74541,-87.62865
20198306,,,,,41.74541,-87.62865
20198285,,,,,41.74541,-87.62865
20198311,,,,,41.74541,-87.62865
20198086,,,,,41.75092,-87.62600
20198093,,,,,41.75092,-87.62600
20197871,,,,,41.75078,-87.63423
20198200,OTH,,,,41.74361,-87.63451
20198256,,,,,41.75084,-87.63066
20198260,,,,,41.75084,-87.63066
20198255,,,,,41.75084,-87.63066
20198926,ARR,,,,41.74360,-87.62805
20198545,,,,,41.75080,-87.63326
20199194,,,,,41.73927,-87.63765
20199444,ARR,,N,,41.75091,-87.62703
20200199,,,,,41.75065,-87.63425
20200256,,,,,41.75093,-87.62582
20201287,ARR,,,,41.75091,-87.62703
20201283,ARR,,,,41.75091,-87.62703
20201464,,,,,41.75091,-87.62703
20202086,,,,,41.74722,-87.62921
20202460,ARR,,N,,41.75082,-87.63188
20202459,ARR,,,,41.75082,-87.63188
20202652,,,,,41.75065,-87.63425
20202644,,,,,41.75065,-87.63425
20202645,,,,,41.75065,-87.63425
20203303,,,,,41.73386,-87.62536
20203314,,,,,41.73386,-87.62536
20203301,,,,,41.73386,-87.62536
20203311,,,,,41.73386,-87.62536
20203682,ANOV,,,,41.75091,-87.62703
20203662,,,,,41.74906,-87.62820
20204562,ARR,,,,41.75040,-87.62702
20204631,,,,,41.75039,-87.63432
20204627,,,,,41.75039,-87.63432
20204626,,,,,41.75039,-87.63432
20204892,,,,,41.75091,-87.62703
20204884,,,,,41.75091,-87.62703
20204846,OTH,,,,41.75091,-87.62703
20204994,,,,,41.75092,-87.62600
20204992,,,,,41.75092,-87.62600
20205671,,,,,41.74358,-87.62911
20205673,,,,,41.74358,-87.62911
20206840,ARR,,,,41.74396,-87.63543
20012285,,,,,41.83395,-87.68271
20013443,PSC,,,,41.83358,-87.68148
20014874,ANOV,,,,41.83086,-87.67529
20015068,ARR,,,,41.83320,-87.68379
20015064,ARR,,,,41.83320,-87.68379
20015487,PSC,,,,41.82763,-87.68214
20015557,ANOV,,,,41.83582,-87.67694
20016169,ARR,,,,41.83036,-87.67772
20021327,ARR,,,,41.83402,-87.67538
20021519,ANOV,,,,41.82669,-87.68006
20021520,ANOV,,,,41.82669,-87.68006
20028458,,,,,41.82786,-87.68176
20108872,,,,,41.83465,-87.67908
20108873,,,,,41.83465,-87.67908
20108869,,,,,41.83465,-87.67908
20033707,,,,,41.83465,-87.67908
20033695,,,,,41.83465,-87.67908
20033692,,,,,41.83465,-87.67908
20033688,,,,,41.83465,-87.67908
20033705,,,,,41.83465,-87.67908
20033703,,,,,41.83465,-87.67908
20033694,,,,,41.83465,-87.67908
20033625,,,,,41.83088,-87.67685
20033619,,,,,41.83088,-87.67685
20033620,,,,,41.83088,-87.67685
20033627,,,,,41.83088,-87.67685
20047701,ANOV,,,,41.83092,-87.67679
20047696,ANOV,,,,41.83092,-87.67679
20047690,ANOV,,,,41.83092,-87.67679
20047688,ANOV,,,,41.83092,-87.67679
20048311,,,,,41.82667,-87.68162
20048309,,,,,41.82667,-87.68162
20048316,,,,,41.82667,-87.68162
20048308,,,,,41.82667,-87.68162
20052450,ANOV,,,,41.82594,-87.68490
20054047,,,,,41.83140,-87.67599
20054162,ARR,,,,41.82671,-87.67766
20063766,,,,,41.82628,-87.68435
20063767,,,,,41.82628,-87.68435
20068163,,,,,41.83163,-87.68142
20068162,,,,,41.83163,-87.68142
20076577,,,,,41.83081,-87.67529
20076578,,,,,41.83081,-87.67529
20079927,,,,,41.83117,-87.68614
20079926,,,,,41.83117,-87.68614
20087839,,,,,41.83002,-87.67826
20088099,,,,,41.83002,-87.67826
20092629,,,,,41.82727,-87.68273
20095164,ANOV,,,,41.82530,-87.68598
20102384,,,,,41.83400,-87.68271
20102391,,,,,41.83400,-87.68271
20102386,,,,,41.83400,-87.68271
20106022,ARR,,,,41.82524,-87.68608
20106240,,,,,41.82666,-87.68239
20106239,,,,,41.82666,-87.68239
20113336,,,,,41.82727,-87.68273
20113337,,,,,41.82727,-87.68273
20115087,ARR,,,,41.83119,-87.68506
20122050,,,,,41.83376,-87.68271
20121539,,,,,41.83376,-87.68271
20126071,,,,,41.83118,-87.68575
20126073,,,,,41.83118,-87.68575
20126133,,,,,41.82408,-87.68429
20126761,,,N,,41.83541,-87.68126
20131329,,,N,,41.83211,-87.68376
20131330,,,,,41.83211,-87.68376
20131745,,,,,41.82594,-87.68490
20133086,,,,,41.82909,-87.67977
20133478,,,,,41.82909,-87.67977
20133477,,,,,41.82909,-87.67977
20133085,,,,,41.82909,-87.67977
20133087,,,,,41.82909,-87.67977
20133481,,,,,41.82909,-87.67977
20134254,,,,,41.83190,-87.67899
20137109,,,,,41.83190,-87.67899
20134257,,,,,41.83190,-87.67899
20138121,OTH,,,,41.83086,-87.67529
20140678,,,,,41.82771,-87.67887
20142147,,,,,41.82666,-87.68239
20143045,ARR,,,,41.82771,-87.67887
20148925,,,,,41.83155,-87.67574
20149396,OTH,,,,41.83584,-87.67563
20150125,,,,,41.83116,-87.68641
20150128,,,,,41.83116,-87.68641
20150119,,,,,41.83116,-87.68641
20149607,,,N,,41.83116,-87.68641
20162555,,,,,41.83117,-87.68606
20173808,,,,,41.82555,-87.68555
20179727,,,,,41.83036,-87.67772
20195332,,,N,,41.83485,-87.67784
20201011,ARR,,,,41.83207,-87.68644
20201204,,,,,41.82297,-87.68550
20206925,ARR,,,,41.83395,-87.68149
20206869,,,,,41.82669,-87.68366
20207520,ARR,,,,41.83027,-87.68572
20014698,ARR,,,,41.84957,-87.63194
20016445,,,,,41.85358,-87.63333
20019402,,,,,41.85541,-87.63016
20020301,,,,,41.85046,-87.63196
20020718,,,,,41.85253,-87.63200
20021157,,,,,41.85360,-87.63180
20021219,,,,,41.84640,-87.63463
20021594,ARR,,,,41.85541,-87.62955
20021593,ARR,,,,41.85541,-87.62955
20021565,,,,,41.85761,-87.63189
20021583,,,,,41.85403,-87.63448
20021581,ANOV,,,,41.85403,-87.63448
20023136,,,,,41.84899,-87.63472
20023293,,,,,41.85777,-87.63190
20023442,,,,,41.85007,-87.63195
20023437,,,,,41.85007,-87.63195
20023434,,,,,41.85007,-87.63195
20024443,,,,,41.85541,-87.63016
20024444,,,,,41.85541,-87.63016
20024674,,,,,41.85373,-87.63303
20025179,ANOV,,,,41.85541,-87.63016
20025186,ARR,,,,41.85776,-87.63376
20025630,ANOV,,,,41.85776,-87.63376
20025620,ANOV,,,,41.85776,-87.63376
20026591,ARR,,,,41.85270,-87.64273
20026587,PSC,,,,41.85270,-87.64273
20027788,ARR,,,,41.85541,-87.63016
20027787,ARR,,,,41.85541,-87.63016
20028926,,,,,41.85776,-87.63148
20028966,,,,,41.85777,-87.63190
20029028,,,,,41.85541,-87.63016
20029241,,,,,41.84894,-87.64222
20030802,PSC,,,,41.85776,-87.63376
20029029,ANOV,,,,41.85541,-87.63016
20027282,,,,,41.85541,-87.63016
